station name,latitude,longitude,county,peninsula,# months
"GRANDVILLE 1 SW, MI US",#N/A,#N/A,,,0
"HARRISVILLE, MI US",#N/A,#N/A,,,0
"IONIA 3 W, MI US",#N/A,#N/A,,,0
"KINCHELOE AFB, MI US",#N/A,#N/A,,,0
"MACKINAW CITY 2, MI US",#N/A,#N/A,,,0
"MANISTIQUE, MI US",#N/A,#N/A,,,0
"NEWAYGO HARDY DAM, MI US",#N/A,#N/A,,,0
"NEWBERRY 1 N, MI US",#N/A,#N/A,,,0
"ONTONAGON, MI US",#N/A,#N/A,,,0
"PINCONNING WWTP, MI US",#N/A,#N/A,,,0
"TRAVERSE CITY 4.7ESE, MI US",#N/A,#N/A,,,0
"TRAVERSE CITY AIRPORT NUMBER 2, MI US",#N/A,#N/A,,,0
"TWIN LAKES, MI US",#N/A,#N/A,,,0
"WASHINGTON, MI US",#N/A,#N/A,,,0
"WHITE CLOUD 9 E, MI US",#N/A,#N/A,,,0
"ANN ARBOR 1 W, MI US",#N/A,#N/A,,,0
"BYRON 4 WSW, MI US",#N/A,#N/A,,,0
"CHATHAM EXPERIMENT FARM, MI US",#N/A,#N/A,,,0
"HALE 5 SSW, MI US",#N/A,#N/A,,,0
"MARLETTE, MI US",#N/A,#N/A,,,0
"REED CITY WWTP, MI US",#N/A,#N/A,,,0
"AVOCA 4 N, MI US",#N/A,#N/A,,,0
"HIGGINS LAKE, MI US",#N/A,#N/A,,,0
"RAPID RIVER 4 SSE, MI US",#N/A,#N/A,,,0
"ROGERS CITY 3 S, MI US",#N/A,#N/A,,,0
"SAGINAW 9 W, MI US",#N/A,#N/A,,,0
"AKRON 7 NW, MI US",#N/A,#N/A,,,0
"CALUMET TAMARACK, MI US",#N/A,#N/A,,,0
"MICHIGAMME, MI US",#N/A,#N/A,,,0
"MIDLAND NUMBER 2, MI US",#N/A,#N/A,,,0
"ALMONT, MI US",#N/A,#N/A,,,0
"ROMEO, MI US",#N/A,#N/A,,,0
"SHELBY 1 SSW, MI US",#N/A,#N/A,,,0
"SPALDING 1 NW, MI US",#N/A,#N/A,,,0
"ORTONVILLE 2.5 SW, MI US",#N/A,#N/A,,,0
"BROWN CITY, MI US",#N/A,#N/A,,,0
"GLENDORA 1 SSW, MI US",#N/A,#N/A,,,0
"NAUBINWAY 6 E, MI US",#N/A,#N/A,,,0
"FENNVILLE 3 W, MI US",#N/A,#N/A,,,0
"GRANT 4 ENE, MI US",#N/A,#N/A,,,0
"HOPE 3 SW, MI US",#N/A,#N/A,,,0
"KINROSS 2 N, MI US",#N/A,#N/A,,,0
"SKANEE, MI US",#N/A,#N/A,,,0
"ST CHARLES 3 SSW, MI US",#N/A,#N/A,,,0
"WATERVLIET 3 S, MI US",#N/A,#N/A,,,0
"HOPKINS 1 N, MI US",#N/A,#N/A,,,0
"KEWADIN 5 NNE, MI US",#N/A,#N/A,,,0
"MCKINLEY, MI US",#N/A,#N/A,,,0
"POSEYVILLE 4 SW, MI US",#N/A,#N/A,,,0
"N HIGGINS LAKE ST PARK, MI US",#N/A,#N/A,,,0
"SCOTTVILLE 2 SE, MI US",#N/A,#N/A,,,0
"GLENNIE 6 W, MI US",#N/A,#N/A,,,0
"LINWOOOD 7 W, MI US",#N/A,#N/A,,,0
"SANDSTONE, MI US",#N/A,#N/A,,,0
