"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"06/19/2024","AQS","260050003","1","0.074","ppm","112","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/20/2024","AQS","260050003","1","0.065","ppm","84","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/21/2024","AQS","260050003","1","0.056","ppm","54","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/22/2024","AQS","260050003","1","0.056","ppm","54","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/23/2024","AQS","260050003","1","0.037","ppm","34","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/24/2024","AQS","260050003","1","0.052","ppm","48","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/25/2024","AQS","260050003","1","0.058","ppm","61","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/26/2024","AQS","260050003","1","0.047","ppm","44","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/27/2024","AQS","260050003","1","0.033","ppm","31","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/28/2024","AQS","260050003","1","0.042","ppm","39","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/29/2024","AQS","260050003","1","0.05","ppm","46","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"06/30/2024","AQS","260050003","1","0.029","ppm","27","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"07/01/2024","AQS","260050003","1","0.039","ppm","36","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"07/02/2024","AQS","260050003","1","0.059","ppm","64","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"07/03/2024","AQS","260050003","1","0.045","ppm","42","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"07/04/2024","AQS","260050003","1","0.042","ppm","39","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"07/05/2024","AQS","260050003","1","0.064","ppm","80","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"07/06/2024","AQS","260050003","1","0.032","ppm","30","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"07/07/2024","AQS","260050003","1","0.053","ppm","49","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"07/08/2024","AQS","260050003","1","0.065","ppm","84","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"07/09/2024","AQS","260050003","1","0.047","ppm","44","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"07/10/2024","AQS","260050003","1","0.038","ppm","35","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"07/11/2024","AQS","260050003","1","0.033","ppm","31","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
